['22', '39', '52', '66', '89', '94', '136', '146', '184', '202', '254', '281', '320', '342', '381', '384', '395', '407', '429', '431', '459', '492', '499']
['10', '24', '73', '75', '108', '112', '113', '140', '190', '205', '211', '225', '248', '301', '321', '364', '411', '412', '422', '442', '471', '475', '491']
['2', '9', '33', '34', '46', '56', '72', '99', '177', '191', '199', '219', '220', '325', '341', '353', '382', '390', '405', '444', '463', '469', '498']
['3', '35', '38', '50', '80', '92', '126', '127', '151', '174', '182', '242', '278', '307', '315', '317', '368', '369', '378', '438', '453', '474', '490']
['59', '132', '153', '166', '193', '206', '207', '217', '227', '243', '263', '284', '287', '314', '330', '350', '351', '372', '394', '427', '452', '454', '488']
['53', '74', '83', '85', '100', '103', '125', '139', '147', '178', '195', '198', '218', '255', '279', '283', '346', '387', '398', '467', '477', '480', '497']
['6', '71', '76', '98', '201', '212', '215', '223', '251', '261', '270', '293', '294', '308', '331', '343', '358', '376', '400', '403', '413', '414', '489']
['14', '25', '32', '44', '61', '81', '111', '121', '133', '149', '169', '200', '222', '262', '274', '348', '349', '355', '363', '380', '392', '436', '441']
['17', '28', '36', '37', '41', '96', '130', '134', '161', '214', '233', '256', '291', '297', '318', '347', '396', '432', '437', '447', '449', '481', '482']
['29', '78', '88', '143', '145', '148', '152', '172', '209', '224', '231', '246', '290', '310', '326', '334', '337', '339', '409', '424', '460', '465', '478']
['1', '77', '102', '110', '129', '159', '173', '216', '259', '276', '292', '302', '303', '304', '309', '335', '344', '357', '359', '406', '446', '485', '496']
['97', '237', '253', '277', '288', '311', '327', '352', '365', '385', '408', '417', '430', '434', '486']
['252', '448']
['7', '13', '30', '49', '62', '163', '180', '194', '257', '269', '271', '272', '275', '285', '295', '322', '354', '366', '397', '401', '466', '470', '483']
['11', '43', '79', '86', '107', '114', '135', '142', '158', '171', '203', '230', '236', '238', '240', '258', '264', '268', '371', '379', '426', '433', '450']
['5', '15', '26', '31', '42', '69', '87', '91', '122', '170', '175', '176', '197', '234', '249', '282', '305', '316', '377', '386', '393', '443', '464']
['21', '58', '64', '84', '123', '154', '181', '185', '189', '213', '228', '267', '306', '324', '329', '370', '375', '425', '440', '455', '473', '476', '493']
['40', '60', '65', '105', '115', '137', '144', '156', '164', '168', '188', '196', '204', '210', '286', '296', '298', '332', '336', '374', '402', '457', '472']
['48', '54', '67', '68', '101', '118', '119', '131', '138', '165', '208', '221', '226', '239', '241', '260', '319', '388', '419', '421', '428', '461', '487']
['0', '4', '8', '57', '70', '90', '93', '117', '157', '167', '187', '244', '280', '289', '300', '338', '362', '399', '415', '423', '451', '468', '484']
['19', '20', '27', '55', '63', '82', '104', '124', '128', '162', '183', '235', '250', '265', '313', '361', '367', '373', '391', '418', '435', '439', '462']
['12', '18', '23', '45', '51', '95', '120', '150', '160', '186', '232', '245', '247', '273', '312', '356', '383', '389', '410', '416', '420', '479', '494']
['16', '47', '106', '109', '116', '141', '155', '179', '192', '229', '266', '299', '323', '328', '333', '340', '345', '360', '404', '445', '456', '458', '495']
