['18', '22', '27', '50', '51', '69', '79', '111', '116', '131', '151', '152', '192', '215', '233', '244']
['1', '3', '12', '14', '15', '23', '42', '44', '46', '59', '75', '122', '172', '177', '231', '243']
['16', '28', '34', '39', '58', '61', '66', '144', '145', '146', '171', '176', '228', '241', '242', '247']
['20', '32', '43', '93', '106', '114', '118', '141', '154', '164', '166', '170', '217', '227', '230', '246']
['11', '30', '31', '37', '60', '80', '103', '105', '120', '134', '158', '160', '190', '214', '252', '254']
['0', '21', '49', '57', '70', '88', '104', '107', '109', '115', '148', '155', '161', '207', '219', '234']
['5', '6', '8', '65', '95', '99', '123', '127', '138', '142', '165', '167', '220', '225', '226', '253']
['9', '29', '52', '83', '102', '129', '150', '153', '168', '179', '181', '184', '189', '198', '209', '250']
['10', '13', '62', '68', '96', '101', '117', '124', '137', '139', '147', '175', '194', '223', '235', '237']
['19', '26', '72', '74', '76', '77', '87', '108', '113', '199', '200', '201', '202', '203', '205', '213']
['35', '54', '55', '81', '92', '125', '133', '163', '174', '180', '185', '212', '218', '224', '248', '255']
['4', '25', '33', '40', '71', '86', '136', '178', '183', '195', '206', '211', '238', '239', '245', '251']
['17', '24', '41', '64', '67', '73', '90', '94', '97', '126', '135', '159', '182', '186', '188', '222']
['38', '56', '85', '100', '110', '119', '128', '143', '157', '191', '196', '197', '204', '208', '221', '229']
['2', '7', '36', '45', '47', '48', '89', '121', '130', '140', '149', '193', '210', '232', '236', '249']
['53', '63', '78', '82', '84', '91', '98', '112', '132', '156', '162', '169', '173', '187', '216', '240']
