['290', '291', '364', '366']
['69', '70', '210', '211']
['7', '123', '288', '289']
['32', '34', '35', '378']
['93', '94', '236', '310']
['28', '54', '277', '286']
['110', '348', '350', '351']
['55', '57', '120', '205']
['232', '304', '306', '307']
['8', '33', '221', '257']
['67', '153', '154', '155']
['41', '42', '43', '241']
['216', '217', '219', '244']
['12', '13', '14', '395']
['116', '118', '119', '267']
['132', '369', '386', '387']
['146', '181', '246', '247']
['108', '111', '194', '195']
['177', '179', '249', '251']
['16', '18', '19', '323']
['125', '352', '354', '355']
['27', '30', '31', '245']
['308', '309', '311', '337']
['11', '46', '47', '152']
['112', '113', '115', '161']
['86', '258', '281', '283']
['68', '71', '74', '92']
['174', '240', '242', '243']
['76', '77', '114', '381']
['164', '165', '388', '389']
['197', '392', '393', '394']
['239', '376', '377', '379']
['156', '333', '335', '390']
['168', '169', '356', '358']
['52', '53', '136', '317']
['131', '148', '149', '150']
['109', '346', '357', '359']
['2', '141', '188', '294']
['72', '82', '176', '273']
['104', '105', '106', '175']
['253', '255', '272', '305']
['328', '329', '330', '344']
['65', '101', '102', '103']
['63', '368', '370', '371']
['0', '1', '3', '222']
['25', '170', '213', '215']
['180', '292', '296', '297']
['208', '223', '384', '385']
['135', '263', '301', '365']
['59', '60', '78', '159']
['26', '171', '190', '191']
['85', '198', '256', '259']
['24', '325', '326', '327']
['79', '293', '295', '367']
['37', '38', '75', '254']
['56', '58', '124', '252']
['126', '143', '238', '375']
['137', '206', '207', '270']
['178', '218', '248', '250']
['4', '6', '193', '274']
['100', '320', '321', '322']
['340', '341', '342', '362']
['48', '51', '209', '266']
['278', '353', '382', '383']
['39', '121', '122', '151']
['172', '268', '269', '271']
['17', '73', '299', '338']
['96', '133', '160', '163']
['40', '144', '145', '147']
['80', '81', '83', '228']
['138', '139', '265', '285']
['202', '203', '343', '373']
['204', '360', '361', '363']
['61', '62', '280', '332']
['276', '279', '313', '315']
['260', '261', '262', '398']
['224', '225', '226', '391']
['316', '318', '319', '380']
['189', '220', '302', '339']
['9', '10', '107', '134']
['162', '192', '372', '374']
['129', '230', '231', '336']
['98', '99', '128', '130']
['5', '64', '282', '331']
['50', '66', '212', '214']
['173', '184', '185', '186']
['227', '229', '312', '314']
['157', '158', '166', '167']
['187', '396', '397', '399']
['21', '36', '44', '324']
['15', '196', '284', '287']
['23', '298', '345', '347']
['84', '87', '140', '142']
['182', '183', '237', '334']
['20', '22', '45', '349']
['95', '199', '200', '201']
['29', '88', '97', '127']
['264', '275', '300', '303']
['89', '90', '91', '117']
['49', '233', '234', '235']
