['343', '294', '330', '99', '393', '82', '7', '183', '77', '126', '64', '254', '355', '214', '212', '56']
['275', '102', '39', '232', '233', '146', '27', '375', '376', '19', '67', '256', '255', '262', '59', '47']
['348', '299', '192', '100', '24', '20', '372', '172', '188', '18', '316', '365', '282', '269', '253', '304']
['347', '191', '271', '279', '108', '31', '332', '147', '133', '390', '247', '240', '367', '384', '309', '81']
['196', '36', '34', '336', '331', '234', '25', '321', '75', '361', '61', '165', '354', '213', '54', '119']
['346', '278', '33', '231', '130', '373', '397', '84', '243', '187', '123', '366', '352', '308', '301', '156']
['35', '148', '137', '22', '396', '244', '180', '79', '259', '164', '161', '359', '283', '285', '113', '300']
['197', '333', '98', '235', '88', '177', '185', '201', '202', '208', '66', '163', '9', '219', '289', '4']
['198', '101', '105', '32', '97', '238', '239', '135', '241', '184', '363', '356', '216', '267', '151', '154']
['277', '334', '96', '237', '142', '139', '62', '8', '121', '258', '169', '287', '264', '114', '306', '5']
['344', '193', '109', '26', '83', '249', '173', '320', '78', '318', '312', '381', '358', '221', '157', '158']
['298', '290', '104', '38', '93', '1', '23', '395', '14', '209', '383', '263', '265', '307', '89', '153']
['195', '335', '92', '95', '140', '136', '28', '400', '394', '399', '380', '168', '162', '55', '225', '152']
['349', '296', '6', '143', '179', '10', '73', '70', '313', '368', '389', '60', '50', '226', '391', '42']
['339', '91', '236', '377', '392', '245', '11', '13', '317', '387', '257', '280', '115', '224', '223', '80']
['345', '342', '103', '94', '131', '398', '170', '125', '127', '128', '360', '388', '160', '350', '118', '150']
['291', '106', '149', '134', '174', '74', '68', '3', '362', '386', '65', '167', '353', '261', '303', '41']
['340', '276', '374', '176', '15', '326', '203', '206', '2', '311', '69', '351', '281', '53', '110', '48']
['190', '273', '30', '29', '379', '189', '16', '325', '250', '357', '260', '52', '111', '302', '49', '40']
['292', '37', '90', '248', '182', '186', '323', '324', '319', '215', '288', '117', '222', '155', '112', '45']
['295', '199', '230', '141', '378', '85', '72', '385', '252', '251', '210', '266', '268', '305', '159', '43']
['272', '337', '86', '242', '12', '327', '200', '204', '76', '120', '124', '314', '382', '57', '63', '46']
['274', '107', '338', '145', '132', '21', '371', '246', '207', '122', '310', '364', '166', '211', '51', '228']
['341', '270', '370', '178', '171', '181', '17', '322', '328', '329', '205', '71', '218', '284', '116', '227']
['129', '297', '293', '194', '144', '138', '87', '175', '315', '369', '217', '286', '58', '229', '220', '44']
