['22', '101', '286', '287', '291', '292', '293', '294', '295', '296', '297', '298', '299', '300', '301', '302', '303', '305', '306', '310', '311', '314']
['5', '28', '221', '222', '223', '225', '227', '228', '229', '231', '232', '233', '235', '238', '241', '382', '384', '387', '388', '391', '393', '425']
['330', '332', '334', '336', '340', '342', '344', '348', '418', '419', '420', '421', '422', '426', '427', '430', '431', '432', '433', '434', '435', '436']
['117', '198', '200', '201', '203', '204', '207', '209', '210', '211', '213', '215', '217', '218', '219', '338', '347', '350', '351', '364', '395', '408']
['132', '133', '135', '136', '139', '140', '143', '147', '150', '151', '153', '205', '208', '374', '375', '377', '378', '380', '385', '389', '390', '392']
['40', '74', '88', '91', '92', '93', '94', '95', '97', '98', '99', '100', '103', '104', '105', '106', '107', '108', '109', '178', '197', '446']
['4', '15', '23', '24', '27', '29', '30', '31', '32', '36', '37', '39', '41', '42', '43', '67', '77', '80', '83', '85', '354', '371']
['0', '12', '13', '19', '199', '243', '248', '249', '250', '259', '272', '275', '279', '288', '289', '290', '304', '307', '353', '405', '428', '474']
['57', '65', '146', '206', '345', '352', '355', '358', '359', '360', '361', '363', '365', '366', '368', '369', '370', '372', '373', '401', '406', '407']
['1', '7', '86', '89', '90', '96', '284', '423', '424', '429', '437', '439', '440', '449', '450', '451', '459', '460', '464', '477', '481', '482']
['9', '190', '242', '244', '245', '246', '247', '251', '252', '253', '254', '255', '256', '257', '258', '260', '261', '262', '263', '316', '357', '443']
['69', '111', '113', '114', '116', '118', '120', '122', '123', '124', '125', '126', '127', '129', '130', '131', '138', '323', '335', '339', '349', '438']
['11', '26', '34', '38', '71', '72', '202', '396', '397', '398', '399', '402', '403', '404', '409', '410', '411', '412', '413', '414', '415', '417']
['16', '81', '176', '177', '179', '180', '181', '184', '185', '187', '188', '189', '191', '192', '193', '194', '195', '196', '331', '333', '341', '343']
['33', '66', '70', '75', '76', '78', '79', '84', '308', '309', '312', '313', '315', '317', '318', '320', '322', '324', '325', '326', '327', '328']
['8', '44', '46', '47', '49', '50', '51', '53', '54', '55', '56', '58', '59', '61', '62', '63', '173', '183', '230', '273', '400', '483']
['2', '14', '17', '25', '119', '152', '265', '267', '268', '269', '270', '271', '274', '276', '277', '278', '280', '281', '282', '283', '285', '383']
['35', '102', '156', '163', '164', '167', '170', '174', '175', '212', '214', '220', '224', '226', '234', '236', '239', '240', '319', '329', '379', '442']
['45', '48', '52', '60', '64', '169', '216', '463', '465', '466', '467', '468', '469', '470', '471', '472', '473', '475', '476', '478', '479', '480']
['18', '68', '73', '82', '87', '110', '112', '115', '121', '128', '134', '137', '141', '142', '144', '145', '148', '149', '237', '321', '416', '462']
['10', '20', '21', '356', '362', '367', '376', '381', '386', '394', '441', '444', '445', '447', '448', '452', '453', '455', '456', '457', '458', '461']
['3', '6', '154', '155', '157', '158', '159', '160', '161', '162', '165', '166', '168', '171', '172', '182', '186', '264', '266', '337', '346', '454']
