['123', '355', '358', '359']
['153', '156', '267', '460']
['89', '436', '472', '494']
['385', '389', '391', '488']
['49', '52', '259', '323']
['77', '416', '418', '467']
['19', '393', '400', '405']
['34', '92', '177', '180']
['59', '62', '63', '71']
['58', '88', '312', '317']
['129', '136', '141', '390']
['315', '332', '474', '491']
['114', '225', '228', '379']
['113', '116', '387', '434']
['132', '210', '432', '479']
['115', '118', '127', '130']
['128', '133', '235', '284']
['352', '357', '370', '378']
['168', '258', '337', '341']
['51', '289', '292', '301']
['112', '329', '333', '335']
['26', '211', '214', '253']
['122', '348', '481', '493']
['91', '94', '248', '322']
['67', '435', '438', '439']
['184', '189', '232', '444']
['31', '39', '255', '340']
['65', '68', '69', '217']
['222', '223', '229', '231']
['22', '24', '360', '386']
['74', '79', '249', '252']
['6', '7', '10', '15']
['60', '139', '382', '383']
['293', '426', '466', '476']
['38', '43', '46', '47']
['75', '78', '87', '309']
['179', '182', '183', '191']
['330', '446', '447', '469']
['201', '206', '371', '374']
['0', '8', '66', '215']
['25', '27', '28', '30']
['209', '213', '221', '297']
['41', '44', '203', '320']
['273', '276', '278', '279']
['275', '299', '302', '456']
['16', '104', '109', '147']
['50', '54', '55', '155']
['392', '394', '397', '399']
['240', '363', '410', '442']
['90', '173', '353', '356']
['33', '40', '45', '296']
['288', '316', '489', '492']
['226', '290', '294', '295']
['242', '245', '247', '411']
['193', '198', '205', '207']
['163', '166', '175', '334']
['321', '324', '433', '437']
['465', '468', '470', '471']
['1', '5', '346', '369']
['408', '413', '415', '443']
['101', '103', '331', '388']
['2', '419', '427', '430']
['152', '366', '375', '484']
['170', '285', '458', '459']
['195', '304', '354', '449']
['144', '146', '149', '151']
['11', '14', '124', '219']
['188', '303', '325', '327']
['4', '237', '328', '404']
['120', '121', '125', '424']
['283', '286', '307', '417']
['230', '238', '239', '380']
['145', '150', '157', '218']
['17', '20', '29', '300']
['272', '277', '350', '351']
['362', '365', '367', '421']
['162', '212', '254', '464']
['262', '265', '268', '270']
['3', '80', '85', '482']
['70', '202', '305', '310']
['137', '140', '142', '420']
['208', '251', '256', '478']
['96', '425', '429', '431']
['344', '376', '377', '381']
['338', '343', '409', '412']
['185', '187', '190', '326']
['35', '37', '42', '100']
['57', '61', '220', '452']
['97', '102', '111', '298']
['138', '143', '451', '454']
['473', '477', '485', '487']
['83', '86', '98', '172']
['233', '236', '445', '490']
['186', '216', '339', '342']
['48', '53', '243', '246']
['161', '164', '165', '308']
['169', '174', '176', '181']
['106', '192', '197', '475']
['171', '178', '282', '287']
['280', '402', '407', '480']
['82', '264', '314', '319']
['18', '23', '336', '347']
['32', '72', '108', '291']
['73', '76', '196', '396']
['457', '461', '462', '463']
['257', '260', '261', '263']
['56', '227', '241', '244']
['154', '158', '159', '167']
['21', '194', '199', '274']
['134', '135', '148', '428']
['64', '107', '306', '311']
['105', '110', '117', '119']
['36', '345', '349', '440']
['200', '483', '486', '495']
['93', '95', '313', '318']
['204', '401', '403', '406']
['361', '364', '368', '373']
['126', '441', '448', '453']
['9', '12', '13', '250']
['281', '414', '422', '423']
['99', '266', '269', '271']
['81', '84', '131', '384']
['160', '224', '450', '455']
['234', '372', '395', '398']
