['6', '9', '20', '31', '70', '94', '103', '105', '110', '141', '142', '150', '152', '181', '242', '249']
['2', '11', '30', '46', '47', '76', '80', '113', '126', '153', '197', '207', '212', '220', '247', '252']
['10', '14', '28', '39', '52', '60', '65', '81', '84', '98', '147', '183', '191', '192', '216', '239']
['33', '41', '55', '61', '77', '83', '112', '114', '166', '214', '218', '221', '224', '225', '236', '238']
['16', '45', '48', '51', '62', '75', '91', '109', '118', '139', '148', '154', '204', '205', '217', '233']
['1', '12', '13', '43', '56', '64', '93', '96', '128', '161', '174', '179', '188', '222', '235', '251']
['23', '35', '42', '74', '99', '108', '119', '120', '124', '155', '168', '187', '190', '213', '244', '248']
['0', '3', '7', '57', '68', '69', '116', '117', '151', '159', '163', '178', '200', '223', '228', '232']
['15', '29', '38', '53', '59', '78', '95', '104', '107', '127', '135', '144', '162', '177', '186', '241']
['4', '22', '27', '88', '92', '100', '137', '176', '185', '189', '198', '201', '202', '206', '211', '237']
['5', '21', '37', '44', '54', '85', '87', '106', '115', '122', '136', '149', '172', '199', '229', '250']
['17', '26', '49', '50', '71', '82', '102', '164', '167', '180', '194', '195', '208', '227', '243', '245']
['24', '32', '40', '66', '101', '111', '131', '134', '138', '143', '158', '165', '171', '196', '219', '230']
['8', '25', '34', '73', '79', '97', '123', '130', '140', '160', '173', '193', '209', '210', '231', '234']
['18', '19', '67', '86', '89', '90', '121', '125', '145', '146', '182', '226', '240', '246', '253', '255']
['36', '58', '63', '72', '129', '132', '133', '156', '157', '169', '170', '175', '184', '203', '215', '254']
