['13', '29', '41', '47', '50', '54', '58', '63', '66', '177', '240', '242', '245', '246', '252', '253', '254', '335', '346', '384']
['0', '1', '271', '277', '289', '291', '298', '307', '313', '324', '330', '338', '357', '360', '376', '377', '379', '386', '389', '391']
['20', '23', '24', '25', '31', '32', '34', '35', '38', '239', '256', '266', '270', '276', '288', '314', '322', '374', '383', '388']
['3', '5', '9', '12', '14', '15', '16', '18', '262', '280', '284', '290', '341', '353', '356', '363', '365', '375', '382', '385']
['40', '51', '90', '109', '123', '124', '135', '142', '148', '154', '155', '187', '193', '194', '259', '261', '299', '355', '358', '398']
['55', '56', '59', '64', '76', '83', '86', '93', '107', '111', '113', '118', '279', '282', '283', '296', '332', '333', '340', '362']
['120', '126', '127', '129', '131', '133', '141', '150', '159', '191', '196', '218', '220', '223', '302', '316', '325', '327', '329', '344']
['73', '100', '110', '114', '119', '121', '151', '158', '162', '165', '170', '171', '174', '244', '305', '317', '326', '349', '364', '380']
['2', '4', '6', '7', '8', '10', '186', '188', '238', '251', '255', '257', '267', '268', '274', '315', '345', '347', '367', '369']
['136', '182', '184', '197', '198', '199', '203', '205', '207', '210', '211', '214', '219', '247', '249', '250', '260', '334', '343', '373']
['60', '61', '65', '72', '96', '102', '164', '183', '185', '189', '192', '195', '200', '212', '217', '264', '278', '287', '311', '366']
['99', '116', '130', '152', '178', '190', '202', '204', '225', '226', '228', '230', '231', '233', '235', '258', '269', '272', '300', '399']
['17', '78', '84', '89', '104', '105', '108', '125', '128', '138', '139', '140', '243', '265', '281', '294', '351', '387', '392', '393']
['52', '101', '122', '132', '134', '137', '160', '169', '172', '175', '180', '181', '201', '206', '208', '297', '348', '350', '381', '397']
['46', '85', '97', '115', '143', '144', '145', '149', '153', '157', '161', '163', '166', '236', '241', '295', '303', '336', '352', '371']
['19', '21', '22', '27', '28', '33', '36', '37', '39', '44', '227', '263', '273', '275', '320', '328', '331', '337', '359', '372']
['26', '45', '48', '57', '67', '70', '79', '82', '94', '103', '112', '117', '232', '306', '308', '309', '310', '319', '323', '390']
['62', '77', '81', '91', '92', '106', '146', '147', '156', '167', '168', '173', '176', '179', '248', '292', '293', '301', '312', '395']
['11', '49', '53', '68', '69', '71', '74', '75', '80', '87', '88', '285', '286', '318', '342', '354', '361', '368', '394', '396']
['30', '42', '43', '95', '98', '209', '213', '215', '216', '221', '222', '224', '229', '234', '237', '304', '321', '339', '370', '378']
