['36', '86', '121', '173']
['120', '143', '155', '246']
['24', '100', '209', '248']
['31', '81', '96', '124']
['45', '122', '176', '235']
['60', '97', '103', '178']
['25', '46', '58', '85']
['110', '153', '181', '221']
['87', '151', '179', '225']
['65', '135', '168', '220']
['20', '73', '167', '238']
['62', '160', '237', '242']
['141', '159', '194', '239']
['99', '111', '128', '234']
['56', '119', '188', '233']
['0', '40', '75', '210']
['30', '138', '157', '190']
['7', '16', '70', '162']
['112', '133', '197', '206']
['125', '126', '134', '223']
['6', '32', '93', '216']
['91', '152', '154', '240']
['4', '82', '129', '192']
['26', '55', '150', '244']
['48', '88', '104', '191']
['42', '51', '52', '230']
['8', '19', '80', '101']
['3', '44', '147', '169']
['68', '72', '142', '193']
['29', '113', '114', '199']
['54', '61', '105', '201']
['39', '136', '177', '195']
['171', '189', '218', '245']
['145', '175', '187', '198']
['2', '33', '156', '202']
['21', '77', '196', '213']
['67', '71', '109', '227']
['17', '118', '185', '219']
['117', '241']
['5', '18', '95', '106']
['49', '123', '212', '222']
['22', '79', '83', '224']
['10', '41', '74', '139']
['35', '98', '144', '232']
['9', '12', '76', '78']
['66', '92', '149', '247']
['11', '69', '140', '208']
['34', '53', '94', '228']
['57', '165', '226', '231']
['89', '132', '186', '214']
['38', '116', '127', '204']
['47', '163', '172', '200']
['1', '50', '184', '217']
['43', '64', '170', '249']
['115', '203', '236', '243']
['14', '90', '137', '229']
['23', '180', '182', '205']
['13', '146', '166', '215']
['27', '108', '148', '158']
['15', '37', '130', '174']
['102', '131', '207', '211']
['28', '63', '84', '164']
['59', '107', '161', '183']
