['84', '409', '230', '206', '36', '737', '53', '217', '418', '370', '653', '677', '517', '254', '754', '779', '777', '568', '166', '452', '602', '48', '604', '198', '24', '610', '624', '750', '391', '345', '567', '596']
['513', '715', '542', '557', '410', '196', '595', '310', '65', '783', '466', '764', '647', '355', '585', '790', '791', '192', '771', '740', '693', '224', '216', '769', '25', '700', '781', '283', '500', '89', '550', '784']
['429', '203', '529', '79', '406', '586', '572', '154', '792', '346', '121', '432', '57', '64', '606', '279', '709', '118', '145', '506', '303', '756', '19', '457', '597', '93', '499', '760', '275', '467', '763', '476']
['505', '543', '493', '603', '241', '359', '578', '565', '544', '414', '386', '725', '298', '132', '796', '552', '364', '442', '685', '90', '668', '793', '541', '292', '742', '271', '618', '444', '716', '123', '119', '220']
['782', '497', '494', '325', '462', '648', '112', '615', '172', '573', '547', '362', '612', '250', '726', '416', '117', '75', '55', '646', '526', '54', '384', '613', '301', '7', '614', '239', '140', '762', '297', '367']
['168', '717', '530', '702', '761', '259', '758', '56', '403', '94', '789', '338', '440', '50', '471', '160', '234', '407', '498', '620', '424', '191', '502', '269', '392', '286', '488', '242', '669', '187', '341', '95']
['151', '486', '524', '645', '713', '237', '571', '43', '251', '504', '401', '40', '472', '495', '433', '691', '710', '436', '256', '649', '641', '736', '261', '113', '215', '701', '665', '396', '51', '689', '211', '627']
['363', '399', '456', '380', '687', '774', '531', '189', '630', '98', '680', '202', '41', '83', '510', '182', '221', '661', '475', '97', '451', '86', '545', '128', '148', '663', '454', '290', '5', '554', '312', '580']
['170', '608', '47', '294', '70', '248', '733', '483', '85', '474', '307', '252', '350', '549', '562', '225', '727', '389', '174', '776', '491', '704', '262', '103', '238', '798', '664', '209', '141', '257', '720', '347']
['684', '556', '276', '434', '728', '348', '528', '527', '344', '463', '318', '563', '249', '188', '99', '91', '21', '291', '336', '732', '82', '18', '173', '759', '76', '724', '139', '273', '278', '673', '468', '288']
['797', '592', '177', '594', '509', '126', '299', '658', '246', '559', '775', '247', '766', '569', '404', '32', '420', '537', '296', '277', '482', '81', '616', '535', '1', '240', '181', '632', '770', '315', '485', '31']
['104', '308', '274', '484', '674', '570', '522', '681', '293', '229', '162', '16', '337', '105', '443', '110', '773', '579', '218', '316', '87', '313', '650', '361', '651', '92', '30', '2', '525', '692', '411', '690']
['22', '322', '743', '114', '609', '161', '135', '412', '605', '17', '69', '655', '582', '200', '458', '694', '101', '52', '469', '340', '197', '253', '142', '408', '46', '134', '460', '473', '492', '116', '634', '741']
['706', '778', '63', '755', '356', '635', '607', '515', '446', '730', '577', '143', '150', '80', '600', '77', '264', '428', '534', '631', '654', '540', '639', '376', '233', '111', '487', '751', '560', '72', '194', '679']
['289', '672', '445', '548', '131', '633', '331', '533', '785', '617', '523', '753', '152', '11', '3', '343', '212', '558', '365', '575', '744', '398', '388', '302', '144', '514', '136', '328', '402', '587', '156', '439']
['490', '68', '9', '45', '164', '489', '503', '339', '66', '637', '520', '243', '640', '227', '657', '88', '330', '501', '786', '772', '59', '332', '699', '449', '20', '219', '611', '734', '636', '714', '306', '100']
['223', '619', '598', '584', '747', '519', '304', '576', '207', '321', '566', '721', '39', '686', '102', '4', '42', '422', '532', '745', '124', '377', '518', '419', '374', '642', '10', '6', '731', '395', '383', '459']
['794', '67', '417', '373', '149', '60', '453', '8', '29', '735', '723', '357', '155', '464', '626', '28', '137', '287', '799', '12', '551', '405', '372', '644', '171', '601', '180', '369', '14', '382', '108', '157']
['44', '676', '210', '435', '397', '722', '324', '574', '479', '153', '628', '593', '319', '698', '415', '394', '178', '255', '539', '353', '281', '351', '738', '360', '538', '599', '448', '159', '329', '23', '300', '33']
['204', '660', '184', '421', '703', '205', '430', '146', '107', '263', '385', '0', '581', '335', '358', '477', '169', '295', '675', '481', '190', '748', '564', '35', '366', '280', '71', '127', '311', '163', '697', '354']
['37', '682', '480', '138', '235', '379', '390', '478', '26', '629', '186', '441', '38', '15', '27', '378', '788', '175', '74', '767', '272', '195', '427', '120', '795', '226', '309', '589', '115', '757', '129', '222']
['712', '400', '512', '333', '507', '438', '431', '708', '193', '729', '61', '371', '125', '746', '183', '214', '461', '387', '780', '232', '656', '455', '426', '130', '695', '368', '96', '231', '561', '447', '265', '201']
['49', '167', '583', '228', '375', '696', '244', '260', '268', '352', '393', '245', '342', '413', '752', '284', '749', '683', '323', '450', '327', '58', '326', '516', '258', '511', '13', '334', '711', '643', '381', '707']
['678', '621', '266', '652', '591', '739', '106', '133', '208', '625', '622', '213', '179', '667', '623', '470', '546', '423', '536', '465', '62', '282', '109', '688', '73', '270', '705', '671', '349', '165', '267', '437']
['659', '768', '638', '317', '496', '34', '158', '425', '122', '662', '285', '176', '521', '508', '718', '314', '787', '666', '305', '236', '185', '147', '765', '719', '590', '555', '78', '320', '553', '199', '670', '588']
