['271', '141', '133', '24', '22', '23', '376', '10', '122', '127', '164', '211', '261', '55', '111', '228']
['349', '295', '290', '21', '378', '86', '87', '173', '72', '8', '2', '69', '168', '169', '165', '154']
['298', '294', '197', '277', '142', '143', '132', '241', '185', '189', '68', '65', '67', '354', '288', '287']
['341', '195', '105', '30', '99', '95', '149', '174', '172', '324', '357', '214', '265', '52', '226', '47']
['345', '194', '103', '146', '145', '395', '82', '246', '327', '66', '264', '304', '225', '153', '155', '157']
['347', '129', '106', '35', '334', '332', '374', '84', '325', '201', '252', '356', '215', '210', '220', '159']
['338', '239', '231', '147', '137', '205', '315', '368', '380', '386', '268', '119', '222', '80', '49', '42']
['291', '109', '131', '138', '400', '7', '176', '180', '128', '383', '217', '262', '57', '156', '81', '40']
['346', '340', '198', '88', '83', '248', '183', '186', '19', '209', '366', '365', '362', '381', '60', '280']
['344', '293', '196', '193', '339', '6', '238', '392', '85', '249', '12', '15', '62', '329', '309', '306']
['90', '136', '20', '393', '396', '322', '78', '312', '254', '255', '351', '218', '284', '303', '224', '43']
['331', '237', '373', '243', '181', '187', '328', '124', '367', '385', '388', '61', '259', '257', '263', '300']
['343', '297', '31', '36', '230', '233', '27', '188', '14', '202', '75', '212', '50', '253', '302', '307']
['104', '33', '232', '134', '379', '399', '321', '203', '70', '126', '363', '258', '289', '283', '227', '89']
['335', '93', '130', '372', '375', '240', '11', '17', '73', '311', '310', '382', '64', '63', '116', '308']
['299', '270', '273', '278', '100', '32', '236', '320', '121', '319', '3', '359', '53', '114', '223', '45']
['275', '97', '26', '28', '370', '397', '16', '326', '200', '120', '313', '216', '113', '301', '221', '41']
['25', '29', '170', '182', '79', '123', '369', '387', '162', '353', '281', '282', '286', '115', '229', '5']
['292', '191', '192', '279', '108', '102', '148', '371', '377', '398', '179', '251', '163', '355', '4', '152']
['296', '39', '38', '34', '98', '91', '144', '242', '177', '125', '360', '361', '389', '9', '350', '305']
['199', '272', '330', '139', '247', '178', '204', '208', '318', '316', '314', '166', '51', '117', '118', '112']
['348', '274', '336', '333', '92', '94', '1', '13', '323', '364', '358', '213', '285', '54', '56', '151']
['342', '190', '96', '135', '394', '18', '207', '206', '76', '256', '167', '160', '219', '58', '150', '48']
['276', '107', '37', '140', '244', '74', '317', '250', '352', '260', '266', '269', '59', '110', '46', '44']
['101', '337', '234', '235', '390', '245', '175', '171', '184', '77', '71', '384', '161', '267', '391', '158']
