['1', '4', '26', '98', '105', '107', '418', '419', '420', '421', '423', '424', '425', '428', '429', '431', '432', '433', '435', '436', '438', '439']
['14', '63', '176', '194', '242', '243', '245', '247', '248', '249', '250', '251', '252', '253', '256', '260', '261', '262', '263', '267', '271', '426']
['0', '13', '94', '115', '220', '221', '223', '224', '225', '226', '229', '230', '234', '235', '237', '239', '240', '241', '304', '396', '415', '477']
['8', '10', '190', '196', '265', '277', '310', '319', '397', '398', '401', '402', '403', '404', '405', '407', '408', '409', '410', '411', '414', '417']
['21', '22', '23', '24', '25', '27', '28', '29', '30', '31', '33', '34', '35', '37', '38', '42', '43', '66', '74', '123', '129', '305']
['41', '46', '49', '67', '254', '255', '264', '266', '268', '270', '272', '274', '275', '276', '278', '279', '280', '281', '282', '283', '285', '460']
['15', '20', '158', '200', '203', '204', '205', '207', '208', '209', '210', '211', '212', '213', '214', '215', '216', '218', '244', '246', '257', '449']
['3', '16', '77', '177', '178', '179', '180', '181', '182', '183', '184', '185', '186', '188', '189', '191', '192', '193', '197', '258', '284', '385']
['147', '231', '236', '273', '286', '287', '288', '289', '290', '291', '292', '295', '296', '297', '298', '299', '300', '302', '303', '306', '350', '456']
['97', '199', '202', '206', '217', '219', '349', '377', '379', '381', '383', '386', '387', '388', '389', '390', '391', '392', '393', '394', '395', '469']
['19', '68', '69', '87', '101', '109', '330', '331', '332', '333', '336', '337', '338', '339', '340', '341', '342', '343', '346', '348', '351', '400']
['5', '12', '88', '89', '90', '91', '92', '95', '99', '102', '104', '137', '142', '166', '170', '173', '198', '335', '347', '427', '446', '463']
['2', '9', '64', '154', '155', '156', '157', '159', '160', '162', '163', '164', '165', '167', '168', '171', '172', '174', '175', '430', '434', '437']
['72', '78', '80', '84', '86', '352', '353', '354', '356', '357', '358', '360', '361', '362', '363', '364', '366', '367', '368', '369', '370', '371']
['44', '45', '47', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '65', '399', '444', '453', '455']
['17', '161', '228', '232', '233', '238', '308', '309', '311', '312', '313', '314', '315', '316', '317', '318', '320', '321', '322', '323', '324', '325']
['7', '111', '122', '128', '135', '326', '327', '328', '344', '374', '375', '376', '378', '380', '382', '384', '406', '412', '413', '416', '422', '442']
['93', '96', '100', '103', '106', '108', '132', '133', '134', '136', '138', '139', '140', '141', '143', '145', '146', '148', '149', '150', '152', '153']
['70', '71', '75', '76', '79', '81', '82', '83', '85', '144', '441', '443', '445', '447', '448', '450', '451', '452', '454', '457', '458', '461']
['18', '201', '269', '329', '462', '464', '465', '466', '467', '468', '470', '471', '472', '473', '475', '476', '478', '479', '480', '481', '482', '483']
['6', '11', '32', '36', '39', '40', '73', '169', '222', '227', '259', '293', '294', '301', '307', '345', '355', '359', '365', '372', '373', '474']
['110', '112', '113', '114', '116', '117', '118', '119', '120', '121', '124', '125', '126', '127', '130', '131', '151', '187', '195', '334', '440', '459']
