['13', '34', '38', '56', '88', '92', '108', '131', '152', '153', '169', '177', '178', '189', '194', '255']
['20', '46', '71', '73', '87', '91', '102', '146', '148', '163', '188', '201', '222', '223', '227', '248']
['64', '78', '89', '107', '114', '120', '121', '126', '142', '161', '175', '203', '206', '226', '228', '241']
['0', '10', '26', '42', '58', '74', '90', '122', '154', '160', '170', '186', '202', '218', '234', '250']
['36', '62', '79', '86', '116', '119', '144', '151', '181', '191', '204', '209', '224', '237', '240', '244']
['4', '9', '24', '29', '31', '70', '85', '95', '106', '139', '147', '159', '167', '187', '192', '195']
['2', '19', '47', '63', '98', '101', '118', '125', '164', '179', '198', '207', '220', '242', '252', '253']
['3', '8', '72', '81', '82', '94', '100', '143', '166', '171', '182', '193', '205', '216', '233', '251']
['23', '30', '45', '52', '66', '68', '75', '77', '110', '140', '150', '157', '162', '165', '200', '246']
['16', '17', '18', '33', '53', '55', '59', '69', '84', '96', '103', '149', '158', '196', '197', '238']
['5', '11', '27', '37', '48', '67', '76', '83', '93', '138', '199', '213', '229', '230', '232', '245']
['44', '51', '97', '123', '130', '133', '155', '168', '173', '174', '176', '210', '212', '219', '236', '254']
['6', '7', '14', '25', '40', '50', '54', '80', '112', '113', '172', '183', '190', '208', '221', '239']
['21', '32', '41', '43', '49', '109', '111', '115', '127', '136', '137', '141', '156', '185', '211', '214']
['12', '28', '39', '60', '65', '99', '105', '117', '129', '135', '145', '215', '225', '243', '247', '249']
['1', '15', '22', '35', '57', '61', '104', '124', '128', '132', '134', '180', '184', '217', '231', '235']
