['147', '157', '488', '31', '474']
['303', '397', '62', '156', '456']
['453', '85', '7', '445', '111']
['211', '227', '286', '458', '2']
['121', '88', '274', '9', '268']
['153', '146', '149', '352', '167']
['59', '360', '216', '468', '263']
['437', '115', '133', '117', '499']
['199', '181', '377', '496', '434']
['182', '172', '207', '322', '476']
['225', '447', '282', '66', '357']
['202', '106', '12', '293', '475']
['362', '386', '176', '238', '193']
['223', '20', '220', '229', '30']
['283', '343', '491', '89', '177']
['148', '221', '38', '328', '281']
['170', '84', '279', '380', '36']
['122', '54', '203', '316', '486']
['104', '233', '266', '200', '260']
['80', '473', '446', '427', '329']
['365', '497', '21', '95', '222']
['49', '45', '409', '353', '75']
['459', '135', '158', '248', '256']
['241', '412', '178', '443', '391']
['358', '154', '99', '162', '22']
['33', '472', '313', '65', '308']
['464', '270', '69', '32', '423']
['183', '364', '335', '485', '463']
['251', '479', '1', '340', '245']
['467', '3', '452', '289', '126']
['298', '247', '90', '433', '285']
['139', '35', '16', '449', '259']
['324', '490', '461', '350', '13']
['448', '116', '355', '384', '495']
['408', '190', '76', '142', '70']
['265', '369', '46', '269', '392']
['175', '420', '277', '132', '64']
['10', '465', '388', '124', '416']
['243', '493', '385', '128', '312']
['48', '28', '11', '42', '498']
['74', '450', '410', '419', '101']
['173', '345', '492', '276', '444']
['389', '34', '18', '169', '288']
['414', '55', '184', '143', '91']
['425', '272', '356', '275', '431']
['480', '78', '201', '93', '469']
['424', '334', '138', '309', '332']
['244', '494', '278', '336', '320']
['405', '114', '374', '366', '224']
['228', '163', '56', '118', '58']
['185', '61', '41', '400', '284']
['108', '304', '196', '215', '318']
['209', '137', '52', '103', '43']
['317', '29', '489', '482', '212']
['47', '205', '144', '152', '368']
['63', '254', '280', '151', '370']
['432', '109', '235', '327', '125']
['189', '129', '390', '250', '440']
['404', '341', '338', '373', '310']
['451', '361', '429', '344', '311']
['483', '237', '119', '441', '430']
['375', '120', '382', '240', '411']
['206', '213', '484', '348', '262']
['168', '214', '346', '71', '252']
['290', '436', '435', '371', '428']
['331', '333', '354', '100', '294']
['81', '299', '6', '470', '292']
['255', '387', '378', '242', '273']
['367', '396', '314', '342', '187']
['439', '217', '306', '159', '239']
['297', '264', '372', '8', '321']
['393', '234', '15', '186', '94']
['51', '246', '68', '14', '454']
['442', '349', '134', '72', '50']
['79', '198', '27', '305', '401']
['60', '102', '131', '438', '145']
['150', '457', '67', '325', '105']
['57', '161', '107', '164', '415']
['5', '112', '226', '73', '257']
['44', '295', '180', '478', '261']
['166', '160', '455', '487', '140']
['53', '179', '330', '17', '197']
['462', '219', '23', '194', '471']
['165', '406', '86', '26', '113']
['236', '155', '477', '407', '171']
['204', '417', '339', '337', '426']
['136', '249', '208', '230', '421']
['466', '296', '25', '24', '210']
['422', '40', '258', '402', '4']
['347', '376', '77', '253', '87']
['267', '301', '359', '110', '83']
['319', '363', '0', '398', '232']
['381', '271', '291', '302', '379']
['323', '481', '307', '394', '37']
['351', '218', '191', '188', '231']
['399', '141', '300', '287', '418']
['192', '383', '19', '39', '97']
['460', '315', '92', '326', '127']
['96', '403', '413', '123', '98']
['395', '174', '82', '195', '130']
