['17', '34', '228', '237']
['15', '184', '205', '206']
['46', '65', '96', '136']
['23', '175', '177', '197']
['42', '124', '173', '201']
['75', '98', '145', '210']
['56', '72', '151', '170']
['3', '27', '209', '227']
['80', '93', '190', '204']
['8', '33', '236', '240']
['26', '41', '115', '220']
['92', '133', '179', '195']
['6', '90', '189', '211']
['13', '125', '128', '213']
['70', '113', '163', '192']
['94', '162', '191', '218']
['35', '108', '225', '243']
['52', '155', '187', '224']
['53', '143', '235', '246']
['64', '83', '180', '198']
['102', '103', '160', '234']
['84', '171', '230', '244']
['62', '76', '99', '182']
['58', '61', '82', '91']
['7', '51', '185', '231']
['4', '85', '109', '233']
['12', '77', '222']
['43', '119', '174', '212']
['57', '86', '107', '140']
['1', '30', '63', '138']
['112', '134', '200', '238']
['22', '123', '152', '216']
['71', '78', '149', '239']
['14', '37', '55', '66']
['73', '121', '142', '183']
['39', '114', '157', '196']
['50', '147', '165']
['10', '19', '45', '148']
['60', '79', '95', '193']
['67', '111', '131', '245']
['21', '104', '181', '199']
['29', '38', '141', '168']
['97', '158', '215', '249']
['0', '116', '127', '167']
['118', '137', '139', '166']
['176', '214', '229', '241']
['101', '106', '194', '202']
['105', '126', '186', '223']
['25', '54', '110', '154']
['69', '89', '203', '226']
['40', '120', '144', '207']
['5', '117', '130', '188']
['24', '28', '47', '146']
['2', '20', '59', '87']
['11', '100', '122', '217']
['68', '132', '242', '247']
['48', '135', '178', '248']
['44', '49', '169', '172']
['18', '32', '161', '221']
['31', '129', '156', '159']
['16', '150', '153', '232']
['9', '74', '81', '88']
['36', '164', '208', '219']
