['56', '351', '306', '116', '265', '399', '315', '294', '162', '238', '345', '353', '181', '393', '370', '190', '380', '144', '318', '98']
['387', '283', '311', '115', '316', '349', '125', '206', '64', '377', '253', '340', '119', '226', '239', '378', '275', '391', '282', '40']
['71', '398', '155', '333', '36', '95', '338', '187', '358', '93', '363', '101', '182', '361', '211', '87', '141', '328', '100', '252']
['305', '214', '90', '304', '80', '47', '151', '99', '289', '158', '34', '25', '354', '215', '291', '279', '327', '22', '132', '259']
['31', '10', '170', '386', '222', '30', '15', '147', '207', '19', '160', '108', '138', '221', '185', '217', '55', '131', '149', '169']
['126', '292', '46', '173', '150', '201', '44', '334', '212', '254', '273', '62', '312', '240', '249', '84', '220', '317', '234', '127']
['179', '319', '270', '235', '21', '343', '246', '257', '128', '228', '218', '23', '18', '284', '229', '140', '385', '153', '123', '4']
['166', '364', '85', '54', '94', '232', '293', '134', '198', '49', '200', '330', '251', '219', '369', '389', '92', '121', '48', '290']
['11', '145', '371', '171', '224', '262', '326', '76', '28', '366', '133', '375', '227', '35', '65', '168', '314', '325', '264', '297']
['16', '390', '104', '248', '39', '195', '245', '106', '324', '359', '136', '33', '237', '276', '70', '142', '357', '231', '6', '167']
['381', '295', '331', '209', '339', '91', '309', '191', '110', '223', '114', '394', '130', '384', '396', '367', '321', '397', '45', '103']
['244', '75', '193', '42', '372', '260', '89', '96', '382', '107', '302', '348', '216', '350', '271', '194', '310', '362', '341', '243']
['164', '303', '148', '278', '360', '24', '299', '199', '342', '307', '111', '256', '272', '81', '122', '37', '172', '165', '296', '86']
['50', '163', '120', '68', '69', '313', '74', '143', '355', '373', '344', '159', '9', '63', '301', '186', '105', '32', '208', '112']
['17', '268', '58', '322', '210', '285', '102', '184', '189', '61', '188', '1', '335', '60', '43', '152', '157', '376', '274', '83']
['38', '117', '241', '154', '59', '135', '13', '51', '197', '88', '269', '337', '332', '236', '352', '20', '277', '26', '161', '250']
['230', '203', '77', '247', '379', '27', '329', '213', '287', '97', '14', '124', '225', '323', '280', '233', '0', '261', '205', '78']
['263', '53', '57', '192', '156', '73', '129', '72', '180', '255', '346', '177', '118', '202', '267', '52', '242', '356', '137', '139']
['2', '374', '109', '300', '67', '258', '79', '395', '82', '183', '5', '336', '41', '146', '174', '113', '7', '365', '286', '288']
['308', '320', '29', '3', '383', '176', '66', '347', '388', '196', '368', '266', '175', '12', '178', '204', '281', '8', '298', '392']
