['0', '2', '3', '5', '7', '8', '9', '10', '11', '12', '13', '15', '16', '18', '67', '121', '158', '254', '382', '387']
['20', '22', '23', '24', '25', '28', '29', '30', '31', '32', '33', '34', '35', '36', '38', '267', '269', '293', '329', '383']
['80', '81', '82', '83', '84', '88', '90', '91', '92', '93', '94', '95', '96', '97', '98', '177', '182', '309', '374', '385']
['1', '6', '17', '108', '116', '238', '242', '274', '303', '306', '307', '308', '313', '314', '316', '318', '352', '369', '389', '392']
['14', '19', '100', '101', '102', '103', '105', '107', '109', '110', '111', '112', '113', '118', '119', '132', '134', '263', '381', '388']
['43', '87', '139', '214', '282', '340', '341', '342', '344', '346', '347', '348', '349', '350', '354', '356', '357', '358', '359', '380']
['26', '52', '56', '99', '117', '122', '123', '125', '126', '128', '129', '131', '135', '136', '137', '163', '168', '171', '209', '294']
['104', '250', '251', '253', '323', '333', '345', '360', '361', '363', '365', '367', '368', '372', '373', '375', '376', '378', '379', '399']
['60', '61', '62', '63', '64', '68', '69', '71', '72', '73', '74', '76', '78', '79', '89', '138', '162', '201', '256', '285']
['46', '86', '133', '320', '321', '324', '325', '326', '327', '328', '330', '331', '332', '334', '335', '336', '337', '338', '339', '384']
['55', '106', '124', '127', '200', '202', '203', '204', '205', '206', '208', '211', '212', '215', '216', '217', '218', '219', '353', '371']
['115', '172', '180', '185', '188', '195', '198', '207', '213', '240', '243', '244', '246', '247', '248', '252', '255', '257', '276', '397']
['27', '41', '48', '77', '280', '281', '283', '286', '287', '288', '289', '290', '291', '292', '295', '296', '297', '298', '299', '386']
['85', '130', '152', '166', '169', '174', '175', '178', '300', '302', '304', '305', '310', '311', '312', '315', '317', '319', '322', '395']
['21', '39', '65', '66', '70', '75', '226', '227', '228', '230', '236', '239', '241', '245', '249', '258', '259', '351', '390', '396']
['37', '40', '42', '44', '45', '47', '49', '50', '51', '53', '54', '57', '58', '59', '343', '362', '364', '370', '377', '398']
['114', '120', '210', '260', '261', '262', '264', '265', '266', '268', '270', '271', '272', '273', '275', '277', '278', '279', '355', '391']
['4', '150', '160', '170', '181', '183', '184', '186', '187', '189', '190', '191', '192', '193', '194', '196', '197', '199', '284', '394']
['165', '167', '173', '176', '179', '220', '221', '222', '223', '224', '225', '229', '231', '232', '233', '234', '235', '237', '301', '366']
['140', '141', '142', '143', '144', '145', '146', '147', '148', '149', '151', '153', '154', '155', '156', '157', '159', '161', '164', '393']
