['2', '35', '215', '219', '237', '238', '244']
['8', '309', '310', '311', '313', '314', '315']
['39', '117', '119', '127', '130', '131', '133']
['289', '290', '292', '294', '302', '304', '305']
['67', '107', '176', '245', '288', '303', '308']
['16', '17', '18', '19', '21', '132', '319']
['180', '261', '262', '263', '264', '265', '266']
['147', '169', '172', '173', '174', '175', '250']
['7', '75', '80', '81', '82', '83', '84']
['43', '111', '184', '185', '186', '188', '211']
['10', '11', '23', '29', '31', '32', '34']
['85', '96', '182', '299', '338', '339', '343']
['42', '156', '157', '158', '159', '161', '179']
['65', '71', '114', '115', '116', '141', '206']
['57', '61', '62', '64', '68', '69', '70']
['189', '199', '204', '205', '207', '208', '209']
['60', '233', '234', '236', '281', '320', '346']
['128', '134', '135', '137', '138', '139', '140']
['282', '295', '296', '297', '298', '300', '301']
['38', '74', '112', '178', '210', '232', '260']
['86', '92', '93', '95', '97', '98', '106']
['25', '26', '144', '145', '218', '283', '291']
['40', '78', '148', '181', '217', '317', '321']
['190', '191', '192', '194', '196', '214', '312']
['1', '4', '22', '24', '27', '28', '66']
['51', '52', '53', '54', '55', '56', '59']
['87', '88', '89', '90', '91', '104', '341']
['76', '285', '330', '332', '334', '335', '336']
['44', '46', '48', '49', '109', '177', '252']
['323', '324', '326', '327', '329', '342', '347']
['41', '113', '136', '146', '246', '306', '348']
['166', '183', '254', '256', '257', '258', '273']
['118', '120', '122', '123', '124', '125', '126']
['79', '154', '155', '160', '162', '168', '253']
['14', '121', '163', '164', '167', '331', '333']
['307', '322', '340', '344', '345', '349', '350']
['103', '247', '267', '268', '270', '271', '272']
['226', '227', '229', '230', '231', '259', '328']
['36', '45', '50', '58', '63', '143', '249']
['129', '171', '220', '224', '235', '287', '316']
['77', '213', '222', '223', '225', '228', '318']
['94', '99', '100', '101', '102', '105', '108']
['255', '269', '274', '275', '276', '277', '279']
['15', '20', '202', '221', '248', '251', '325']
['6', '47', '72', '152', '153', '284', '286']
['193', '195', '197', '198', '200', '201', '203']
['3', '5', '37', '110', '170', '187', '216']
['9', '12', '13', '33', '149', '212', '337']
['30', '150', '151', '165', '278', '280', '293']
['73', '142', '239', '240', '241', '242', '243']
